Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21
2009-06-29,22725.0,22725.0,21834.0,22101.0,3296615,VND,891.0,624.0,21572.85714285714,22648.714285714286,22115.04761904762
2009-06-30,23171.0,23394.0,21388.0,21834.0,6785267,VND,2006.0,1337.0,21464.714285714286,22502.285714285714,22228.190476190477
2009-07-01,21388.0,21745.0,20720.0,20765.0,6973093,VND,1025.0,623.0,21401.14285714286,22184.071428571428,22273.761904761905
2009-07-02,20943.0,21567.0,20675.0,21433.0,5628207,VND,892.0,-490.0,21617.571428571428,21907.14285714286,22365.761904761905
2009-07-03,20943.0,21344.0,20274.0,21210.0,3573517,VND,1070.0,-267.0,21592.14285714286,21719.35714285714,22424.190476190477
2009-07-06,21344.0,22101.0,20943.0,22012.0,4077400,VND,1158.0,-668.0,21630.285714285714,21693.85714285714,22456.095238095237
2009-07-07,22280.0,22280.0,21477.0,21656.0,3290063,VND,803.0,624.0,21573.0,21633.428571428572,22400.095238095237
2009-07-08,21745.0,21745.0,21210.0,21522.0,2751547,VND,535.0,223.0,21490.285714285714,21531.571428571428,22262.571428571428
2009-07-09,21611.0,21656.0,21121.0,21210.0,2578698,VND,535.0,401.0,21401.14285714286,21432.928571428572,22135.238095238095
2009-07-10,21344.0,21388.0,20497.0,20898.0,3560569,VND,891.0,446.0,21420.14285714286,21410.64285714286,21929.428571428572
2009-07-13,20854.0,20854.0,20096.0,20141.0,3753854,VND,758.0,713.0,21235.571428571428,21426.571428571428,21683.285714285714
2009-07-14,20497.0,20809.0,19740.0,20052.0,4100177,VND,1069.0,445.0,21070.14285714286,21331.14285714286,21502.95238095238
2009-07-15,20274.0,20497.0,20052.0,20230.0,2696323,VND,445.0,44.0,20815.571428571428,21222.928571428572,21401.095238095237
2009-07-16,20943.0,21166.0,20274.0,20363.0,2445785,VND,892.0,580.0,20630.85714285714,21101.928571428572,21299.238095238095
2009-07-17,20586.0,20720.0,20052.0,20096.0,2511774,VND,668.0,490.0,20427.14285714286,20958.714285714286,21163.428571428572
2009-07-20,20052.0,20052.0,19027.0,19160.0,3792074,VND,1025.0,892.0,20134.285714285714,20767.714285714286,21000.04761904762
2009-07-21,19294.0,19784.0,19160.0,19428.0,2640474,VND,624.0,-134.0,19924.285714285714,20672.214285714286,20915.190476190477
2009-07-22,19740.0,19740.0,19250.0,19294.0,2542662,VND,490.0,446.0,19803.285714285714,20519.428571428572,20885.47619047619
2009-07-23,19606.0,20720.0,19071.0,20274.0,4926358,VND,1649.0,-668.0,19835.0,20452.571428571428,20832.428571428572
2009-07-24,20720.0,21344.0,20720.0,21344.0,2900216,VND,624.0,-624.0,19994.14285714286,20404.85714285714,20813.333333333332
2009-07-27,22681.0,22725.0,21433.0,22235.0,9768164,VND,1292.0,446.0,20261.571428571428,20446.214285714286,20821.809523809523
2009-07-28,22146.0,22280.0,21076.0,21121.0,3967732,VND,1204.0,1025.0,20408.0,20417.571428571428,20775.14285714286
2009-07-29,20765.0,21611.0,20497.0,20631.0,4313742,VND,1114.0,134.0,20618.14285714286,20376.214285714286,20717.85714285714
2009-07-30,20631.0,20631.0,20096.0,20274.0,3777098,VND,535.0,357.0,20739.0,20331.64285714286,20694.47619047619
2009-07-31,20943.0,21121.0,20497.0,20987.0,3859623,VND,624.0,-44.0,20980.85714285714,20392.071428571428,20673.238095238095
2009-08-03,21344.0,21388.0,20586.0,20765.0,2356709,VND,802.0,579.0,21051.0,20443.0,20652.04761904762
2009-08-04,21076.0,21388.0,20898.0,21032.0,3175870,VND,490.0,44.0,21006.428571428572,20500.285714285714,20605.380952380954
2009-08-05,21076.0,21166.0,20720.0,20943.0,3425316,VND,446.0,133.0,20821.85714285714,20541.714285714286,20571.428571428572
2009-08-06,20586.0,21166.0,20141.0,20854.0,3732482,VND,1025.0,-268.0,20783.714285714286,20595.85714285714,20539.619047619046
2009-08-07,20898.0,20898.0,20720.0,20809.0,1895101,VND,178.0,89.0,20809.14285714286,20713.64285714286,20520.52380952381
2009-08-10,20809.0,21121.0,20809.0,20943.0,3063237,VND,312.0,-134.0,20904.714285714286,20821.85714285714,20522.666666666668
2009-08-11,20943.0,21032.0,20809.0,20898.0,2791484,VND,223.0,45.0,20892.0,20936.428571428572,20558.714285714286
2009-08-12,20854.0,21299.0,20720.0,20943.0,3296615,VND,579.0,-89.0,20917.428571428572,20984.214285714286,20601.14285714286
2009-08-13,21388.0,21834.0,21166.0,21255.0,4185977,VND,668.0,133.0,20949.285714285714,20977.85714285714,20649.95238095238
2009-08-14,21656.0,21656.0,21166.0,21255.0,2785087,VND,490.0,401.0,20993.85714285714,20907.85714285714,20692.428571428572
2009-08-17,21255.0,21299.0,20943.0,20987.0,2251252,VND,356.0,268.0,21012.85714285714,20898.285714285714,20734.85714285714
2009-08-18,20765.0,21032.0,20542.0,20854.0,2333464,VND,490.0,-89.0,21019.285714285714,20914.214285714286,20815.52380952381
2009-08-19,21076.0,21121.0,20898.0,20987.0,2120367,VND,223.0,89.0,21025.571428571428,20965.14285714286,20889.761904761905
2009-08-20,21166.0,21388.0,20898.0,20987.0,3201922,VND,490.0,179.0,21038.285714285714,20965.14285714286,20970.380952380954
2009-08-21,21166.0,21834.0,21032.0,21166.0,5186256,VND,802.0,0.0,21070.14285714286,20993.785714285714,21012.85714285714
2009-08-24,21433.0,21789.0,21299.0,21388.0,3756506,VND,490.0,45.0,21089.14285714286,21019.214285714286,21014.95238095238
2009-08-25,21344.0,21477.0,21076.0,21210.0,3312059,VND,401.0,134.0,21082.714285714286,21038.285714285714,20966.14285714286
2009-08-26,21166.0,21255.0,21032.0,21076.0,2309284,VND,223.0,90.0,21095.428571428572,21054.14285714286,20964.0
2009-08-27,20943.0,21076.0,20497.0,20809.0,4131533,VND,579.0,134.0,21089.0,21054.14285714286,20972.47619047619
2009-08-28,20675.0,21121.0,20675.0,21076.0,5288749,VND,446.0,-401.0,21101.714285714286,21063.64285714286,21010.666666666668
2009-08-31,21255.0,21611.0,21076.0,21433.0,4574264,VND,535.0,-178.0,21165.428571428572,21101.85714285714,21031.904761904763
2009-09-01,21388.0,21477.0,21121.0,21255.0,3262763,VND,356.0,133.0,21178.14285714286,21124.14285714286,21055.238095238095
2009-09-03,21166.0,21166.0,20943.0,20987.0,2181831,VND,223.0,179.0,21120.85714285714,21105.0,21053.095238095237
2009-09-04,21032.0,21076.0,20631.0,20765.0,3285851,VND,445.0,267.0,21057.285714285714,21070.0,21044.619047619046
2009-09-07,20943.0,20943.0,20274.0,20542.0,2457797,VND,669.0,401.0,20981.0,21038.214285714286,21029.761904761905
2009-09-08,20542.0,20943.0,20497.0,20720.0,1640507,VND,446.0,-178.0,20968.285714285714,21028.64285714286,21025.52380952381
2009-09-09,20898.0,20898.0,20497.0,20497.0,1455334,VND,401.0,401.0,20885.571428571428,20993.64285714286,21004.285714285714
2009-09-10,20631.0,20631.0,20274.0,20497.0,2364353,VND,357.0,134.0,20751.85714285714,20958.64285714286,20985.190476190477
2009-09-11,20497.0,20720.0,20408.0,20453.0,1762968,VND,312.0,44.0,20637.285714285714,20907.714285714286,20961.85714285714
2009-09-14,20720.0,20720.0,20408.0,20497.0,2282140,VND,312.0,223.0,20567.285714285714,20844.071428571428,20925.761904761905
2009-09-15,20586.0,20720.0,20453.0,20675.0,2551866,VND,267.0,-89.0,20554.428571428572,20805.85714285714,20898.14285714286
2009-09-16,20720.0,21923.0,20720.0,21656.0,7685706,VND,1203.0,-936.0,20713.571428571428,20847.285714285714,20930.0
2009-09-17,21923.0,22101.0,21032.0,21255.0,3710018,VND,1069.0,668.0,20790.0,20879.14285714286,20949.095238095237
2009-09-18,21344.0,21344.0,20898.0,21032.0,2747491,VND,446.0,312.0,20866.428571428572,20876.0,20951.238095238095
2009-09-21,21032.0,21032.0,20675.0,20720.0,2624406,VND,357.0,312.0,20898.285714285714,20825.071428571428,20938.52380952381
2009-09-22,20854.0,20854.0,20453.0,20586.0,3051069,VND,401.0,268.0,20917.285714285714,20777.285714285714,20910.904761904763
2009-09-23,20854.0,21388.0,20586.0,20675.0,2870732,VND,802.0,179.0,20942.714285714286,20755.0,20876.95238095238
2009-09-24,20720.0,20854.0,20542.0,20586.0,1708056,VND,312.0,134.0,20930.0,20742.214285714286,20847.238095238095
2009-09-25,20408.0,21166.0,20408.0,20854.0,3546841,VND,758.0,-446.0,20815.428571428572,20764.5,20836.666666666668
